Company Name	Ticker	Exchange	GICS Sector	GICS Industry Group	GICS Industry	GICS Sub-Industry
Anhui Conch Cement Co Ltd	914	Hong Kong Exchanges And Clearing Ltd	Materials	Materials	Construction Materials	Construction Materials
China Construction Bank Corp	939	Hong Kong Exchanges And Clearing Ltd	Financials	Banks	Banks	Diversified Banks
China Gas Holdings Ltd	384	Hong Kong Exchanges And Clearing Ltd	Utilities	Utilities	Gas Utilities	Gas Utilities
China Mobile Ltd	941	Hong Kong Exchanges And Clearing Ltd	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
China State Construction International Holdings Ltd	3311	Hong Kong Exchanges And Clearing Ltd	Industrials	Capital Goods	Construction and Engineering	Construction and Engineering
CITIC Ltd	267	Hong Kong Exchanges And Clearing Ltd	Industrials	Capital Goods	Industrial Conglomerates	Industrial Conglomerates
Huaneng Power International Inc	902	Hong Kong Exchanges And Clearing Ltd	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Independent Power Producers and Energy Traders
Meituan	3690	Hong Kong Exchanges And Clearing Ltd	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Ping An Insurance (Group) Co. of China Ltd	2318	Hong Kong Exchanges And Clearing Ltd	Financials	Insurance	Insurance	Life and Health Insurance
Tencent Holdings Ltd	700	Hong Kong Exchanges And Clearing Ltd	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
HD Korea Shipbuilding & Offshore Engineering Company	9540	Korea Exchange	Industrials	Capital Goods	Machinery	Construction & Farm Machinery & Heavy Trucks
LG Chem Ltd.	51910	Korea Exchange	Materials	Materials	Chemicals	Commodity Chemicals
POSCO Future M Co., Ltd	3670	Korea Exchange	Materials	Materials	Metals & Mining	Steel
Samsung Electronics Co Ltd	5930	Korea Exchange	Information Technology	Technology Hardware & Equipment	Technology Hardware, Storage & Peripherals	Technology Hardware, Storage & Peripherals
AstraZeneca PLC	AZN	London Stock Exchange	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Aviva PLC	AV	London Stock Exchange	Financials	Insurance	Insurance	Multi-line Insurance
BHP Group PLC	BHP	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
BT Group PLC	BT.A	London Stock Exchange	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
Bunzl PLC	BNZL	London Stock Exchange	Industrials	Capital Goods	Trading Companies and Distributors	Trading Companies and Distributors
Carclo PLC	CAR	London Stock Exchange	Materials	Materials	Chemicals	Specialty Chemicals
Carnival PLC	CCL	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
City of London Investment Group PLC	CLIG	London Stock Exchange	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Compass Group PLC	CPG	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
discoverIE Group PLC	DSCV	London Stock Exchange	Industrials	Capital Goods	Electrical Equipment	Electrical Components and Equipment
Dominos Pizza Inc	DOM	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants & Leisure	Restaurants
easyJet PLC	EZJ	London Stock Exchange	Industrials	Transportation	Airlines	Airlines
Experian PLC	EXPN	London Stock Exchange	Industrials	Commercial Services and Supplies	Professional Services	Research and Consulting Services
Ferguson PLC	FERG	London Stock Exchange	Industrials	Capital Goods	Trading Companies and Distributors	Trading Companies and Distributors
Glencore PLC	GLEN	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
Hostelworld Group PLC	HSW	London Stock Exchange	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
HSBC Holdings PLC	HSBA	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
InterContinental Hotels Group PLC	IHG	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Johnson Matthey PLC	JMAT	London Stock Exchange	Materials	Materials	Chemicals	Specialty Chemicals
Lloyds Banking Group PLC	LLOY	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Lookers PLC	LOOK	London Stock Exchange	Consumer Discretionary	Retailing	Specialty Retail	Automotive Retail
Mondi PLC	MNDI	London Stock Exchange	Materials	Materials	Paper and Forest Products	Paper Products
NatWest Group PLC	NWG	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Next PLC	NXT	London Stock Exchange	Consumer Discretionary	Retailing	Multiline Retail	Department Stores
On The Beach Group PLC	OTB	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Pearson PLC	PSON	London Stock Exchange	Communication Services	Media & Entertainment	Media	Publishing
Reckitt Benckiser Group PLC	RKT	London Stock Exchange	Consumer Staples	Household and Personal Products	Household Products	Household Products
Rightmove Plc	RMV	London Stock Exchange	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Rio Tinto PLC	RIO	London Stock Exchange	Materials	Materials	Metals and Mining	Diversified Metals and Mining
Royal Dutch Shell PLC	SHEL	London Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
Sage Group (The) PLC	SGE	London Stock Exchange	Information Technology	Software and Services	Software	Application Software
Sainsbury (J) PLC	SBRY	London Stock Exchange	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Retail
Schroders PLC	SDR	London Stock Exchange	Financials	Diversified Financials	Capital Markets	Asset Management and Custody Banks
Severn Trent PLC	SVT	London Stock Exchange	Utilities	Utilities	Water Utilities	Water Utilities
Smith & Nephew PLC	SN	London Stock Exchange	Health Care	Health Care Equipment and Services	Health Care Equipment and Supplies	Health Care Equipment
Smiths Group PLC	SMIN	London Stock Exchange	Industrials	Capital Goods	Industrial Conglomerates	Industrial Conglomerates
SSE PLC	SSE	London Stock Exchange	Utilities	Utilities	Electric Utilities	Electric Utilities
Standard Chartered PLC	STAN	London Stock Exchange	Financials	Banks	Banks	Diversified Banks
Tullow Oil PLC	TLW	London Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Exploration and Production
Unilever PLC	ULVR	London Stock Exchange	Consumer Staples	Household and Personal Products	Personal Products	Personal Products
United Utilities Group PLC	UU	London Stock Exchange	Utilities	Utilities	Water Utilities	Water Utilities
Vodafone Group PLC	VOD	London Stock Exchange	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Whitbread PLC	WTB	London Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Wynnstay Group PLC	WYN	London Stock Exchange	Consumer Staples	Food, Beverage and Tobacco	Food Products	Agricultural Products
Alphawave IP Group	AWE	London Stock Exchange	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Rolls-Royce Holdings PLC	RR	London Stock Exchange	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
Acadia Healthcare Co Inc	ACHC	Nasdaq	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Facilities
Activision Blizzard Inc	ATVI	Nasdaq	Communication Services	Media & Entertainment	Entertainment	Interactive Home Entertainment
Adobe Inc	ADBE	Nasdaq	Information Technology	Software and Services	Software	Application Software
Advanced Micro Devices	AMD	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Aehr Test Systems	AEHR	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductor Equipment
Aemetis Inc	AMTX	Nasdaq	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Refining and Marketing
Alphabet Inc	GOOG	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Amazon.com Inc	AMZN	Nasdaq	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
American Airlines Group Inc	AAL	Nasdaq	Industrials	Transportation	Airlines	Airlines
American Electric Power Co Inc	AEP	Nasdaq	Utilities	Utilities	Electric Utilities	Electric Utilities
Amgen Inc	AMGN	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Apple Inc	AAPL	Nasdaq	Information Technology	Technology Hardware and Equipment	Technology Hardware, Storage and Peripherals	Technology Hardware, Storage and Peripherals
ArcBest Corp	ARCB	Nasdaq	Industrials	Transportation	Road and Rail	Trucking
Baidu Inc	BIDU	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Baijiayun Group Ltd	RTC	Nasdaq	Information Technology	Software & Services	Software	Application Software
Bank OZK	OZK	Nasdaq	Financials	Banks	Banks	Regional Banks
Beacon Roofing Supply Inc	BECN	Nasdaq	Industrials	Capital Goods	Trading Companies and Distributors	Trading Companies and Distributors
Broadcom Inc	AVGO	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Caesars Entertainment Inc	CZR	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants & Leisure	Casinos & Gaming
Casey's General Stores Inc	CASY	Nasdaq	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Retail
Catalyst Pharmaceuticals Inc	CPRX	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Chargepoint Holdings	CHPT	Nasdaq	Industrials	Capital Goods	Electrical Equipment	Electrical Components & Equipment
Cheesecake Factory Inc	CAKE	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
China Automotive Systems Inc	CAAS	Nasdaq	Consumer Discretionary	Automobiles and Components	Auto Components	Auto Parts and Equipment
China Natural Resources Inc	CHNR	Nasdaq	Materials	Materials	Metals and Mining	Diversified Metals and Mining
CISCO Systems Inc	CSCO	Nasdaq	Information Technology	Technology Hardware & Equipment	Communications Equipment	Communications Equipment
Cognizant Technology Solutions Corp	CTSH	Nasdaq	Information Technology	Software and Services	IT Services	IT Consulting and Other Services
Comcast Corp	CMCSA	Nasdaq	Communication Services	Media & Entertainment	Media	Cable & Satellite
Costco Wholesale Corp	COST	Nasdaq	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Hypermarkets and Super Centers
Daily Journal Corp	DJCO	Nasdaq	Communication Services	Media & Entertainment	Media	Publishing
Dollar Tree Inc	DLTR	Nasdaq	Consumer Discretionary	Retailing	Multiline Retail	General Merchandise Stores
Dropbox Inc	DBX	Nasdaq	Information Technology	Software & Services	Software	Application Software
Endo International PLC	ENDP	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
ETSY Inc	ETSY	Nasdaq	Consumer Discretionary	Retailing	Internet & Catalog Retail	Internet Retail
Fortinet Inc	FTNT	Nasdaq	Information Technology	Software & Services	Software	Systems Software
Genmab A/S	GMAB	Nasdaq	Health Care	Pharmaceuticals, Biotechnology & Life Sciences	Biotechnology	Biotechnology
Gibraltar Industries Inc	ROCK	Nasdaq	Industrials	Capital Goods	Building Products	Building Products
Gilead Sciences Inc	GILD	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
Glacier Bancorp Inc	GBCI	Nasdaq	Financials	Banks	Banks	Regional Banks
Gogo Inc	GOGO	Nasdaq	Communication Services	Telecommunication Services	Wireless Telecommunication Services	Wireless Telecommunication Services
Great Elm Group Inc	GEG	Nasdaq	Health Care	Health Care Equipment and Services	Health Care Providers and Services	Health Care Distributors
Groupon Inc	GRPN	Nasdaq	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Harvard Bioscience Inc	HBIO	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Life Sciences Tools and Services	Life Sciences Tools and Services
Hasbro Inc	HAS	Nasdaq	Consumer Discretionary	Consumer Durables and Apparel	Leisure Products	Leisure Products
Heartland Express Inc	HTLD	Nasdaq	Industrials	Transportation	Road and Rail	Trucking
Hibbett Inc	HIBB	Nasdaq	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
Illumina Inc	ILMN	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Life Sciences Tools and Services	Life Sciences Tools and Services
Innospec Inc	IOSP	Nasdaq	Materials	Materials	Chemicals	Specialty Chemicals
INTEL Corp	INTC	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
J&J Snack Foods Corp	JJSF	Nasdaq	Consumer Staples	Food, Beverage and Tobacco	Food Products	Packaged Foods and Meats
JetBlue Airways Corp	JBLU	Nasdaq	Industrials	Transportation	Airlines	Airlines
Kaiser Aluminum Corp	KALU	Nasdaq	Materials	Materials	Metals and Mining	Aluminum
Keurig Dr Pepper Inc	KDP	Nasdaq	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks
Lands' End Inc	LE	Nasdaq	Consumer Discretionary	Retailing	Internet & Direct Marketing Retail	Internet & Direct Marketing Retail
Liquidia Corporation	LQDA	Nasdaq	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals
Lululemon Athletica Inc	LULU	Nasdaq	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
Lyft Inc	LYFT	Nasdaq	Industrials	Transportation	Road and Rail	Trucking
Manhattan Associates Inc	MANH	Nasdaq	Information Technology	Software and Services	Software	Application Software
Marriott International Inc	MAR	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Match Group Inc	MTCH	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Mattel Inc	MAT	Nasdaq	Consumer Discretionary	Consumer Durables and Apparel	Leisure Products	Leisure Products
META	META	Nasdaq	Communication Services	Media & Entertainment	Interactive Media & Services	Interactive Media & Services
Meta Materials Inc	MMAT	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
Microsoft Corp	MSFT	Nasdaq	Information Technology	Software and Services	Software	Systems Software
Middlesex Water Co	MSEX	Nasdaq	Utilities	Utilities	Water Utilities	Water Utilities
Monster Beverage Corp	MNST	Nasdaq	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks
Myriad Genetics Inc	MYGN	Nasdaq	Health Care	Pharmaceuticals and Biotechnology	Biotechnology	Biotechnology
National Beverage Corp	FIZZ	Nasdaq	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks
NetEase Inc	NTES	Nasdaq	Communication Services	Media & Entertainment	Entertainment	Interactive Home Entertainment
NETFLIX Inc	NFLX	Nasdaq	Communication Services	Media & Entertainment	Entertainment	Movies & Entertainment
Northern Technologies International Corp	NTIC	Nasdaq	Materials	Materials	Chemicals	Specialty Chemicals
NVIDIA Corp	NVDA	Nasdaq	Information Technology	Semiconductors & Semiconductor Equipment	Semiconductors & Semiconductor Equipment	Semiconductors
NXP Semiconductors NV	NXPI	Nasdaq	Information Technology	Semiconductors and Semiconductor Equipment	Semiconductors and Semiconductor Equipment	Semiconductors
Old National Bancorp	ONB	Nasdaq	Financials	Banks	Banks	Regional Banks
O'Reilly Automotive Inc	ORLY	Nasdaq	Consumer Discretionary	Retailing	Specialty Retail	Automotive Retail
PACCAR Inc	PCAR	Nasdaq	Industrials	Capital Goods	Machinery	Construction Machinery and Heavy Trucks
Pacwest Bancorp	PACW	Nasdaq	Financials	Banks	Commerical Banks	Regional Banks
Papa John's International Inc	PZZA	Nasdaq	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
